58,118,-93,126
58,123,-93,93
58,129,-92,103
59,135,-91,113
59,140,-89,146
60,146,-85,128
60,151,-83,129
61,157,-82,138
61,163,-83,128
61,168,-83,137
61,174,-84,114
62,180,-83,118
62,185,-82,119
63,191,-81,121
63,196,-81,64
63,202,-82,67
63,208,-85,60
63,214,-91,58
54,44,-106,21
55,50,-105,20
55,56,-103,20
55,62,-101,32
55,67,-109,51
55,73,-111,103
56,79,-107,113
57,85,-103,113
57,91,-97,99
58,96,-92,123
58,102,-90,156
59,108,-89,105
59,113,-94,154
59,119,-92,133
59,125,-94,120
60,130,-91,108
60,136,-89,132
61,142,-86,124
61,147,-83,126
62,153,-81,156
62,158,-82,141
62,164,-82,135
63,170,-83,114
63,175,-81,91
63,181,-81,97
64,186,-80,84
64,192,-80,91
64,198,-79,58
65,203,-80,59
65,209,-84,75
65,215,-89,44
53,31,-126,17
54,39,-126,17
56,46,-104,20
56,52,-105,19
57,57,-102,25
57,63,-100,41
57,69,-111,60
57,74,-110,120
58,80,-105,108
58,86,-100,101
59,92,-95,101
60,98,-90,139
60,103,-89,154
60,109,-90,110
60,115,-93,171
61,120,-93,142
61,126,-95,112
61,132,-90,98
62,137,-88,150
62,143,-85,132
63,148,-81,137
63,154,-81,164
64,160,-81,126
64,165,-82,135
64,171,-80,85
65,176,-78,65
65,182,-79,93
65,188,-78,93
66,193,-78,74
66,199,-77,60
66,204,-78,63
66,210,-82,63
66,217,-88,48
56,38,-113,16
57,44,-105,21
57,50,-105,19
58,56,-101,23
58,62,-102,36
58,67,-112,60
58,73,-109,117
59,79,-105,108
60,85,-100,110
60,90,-95,107
61,96,-90,128
61,102,-88,166
62,108,-88,127
62,113,-93,152
62,119,-93,146
62,125,-94,107
63,130,-91,101
63,136,-87,150
64,141,-84,124
64,147,-81,137
65,152,-80,152
65,158,-81,128
65,164,-81,126
66,169,-78,64
66,175,-76,74
66,180,-77,90
67,186,-77,92
67,192,-76,72
67,197,-75,59
68,203,-76,71
68,208,-78,49
68,215,-83,50
58,41,-104,17
59,47,-105,18
59,53,-103,23
59,59,-105,28
59,64,-113,64
60,70,-110,110
60,76,-106,111
61,82,-101,108
61,88,-96,107
62,93,-91,109
63,99,-88,165
63,105,-87,163
63,110,-89,130
63,116,-93,182
64,122,-92,136
64,127,-92,93
65,133,-88,114
65,138,-85,126
66,144,-81,120
66,150,-80,168
66,155,-80,139
67,161,-80,128
67,166,-78,85
68,172,-74,60
68,177,-75,91
68,183,-76,97
68,189,-76,84
69,194,-75,97
69,200,-74,64
69,205,-74,64
70,211,-77,53
69,217,-84,50
60,40,-104,17
60,45,-107,18
61,51,-103,19
61,57,-106,29
60,62,-113,58
61,68,-110,100
62,74,-106,123
62,80,-101,111
63,86,-97,111
63,92,-91,103
64,98,-88,152
64,103,-87,181
65,109,-88,127
65,114,-92,168
65,120,-92,142
65,126,-93,103
66,131,-88,108
66,137,-85,118
67,143,-81,119
67,148,-79,171
68,154,-80,148
68,159,-80,123
68,165,-76,73
69,170,-73,60
69,176,-74,95
69,181,-75,109
70,187,-75,111
70,193,-74,104
71,198,-73,59
71,204,-72,65
71,209,-73,58
71,215,-79,46
60,33,-115,19
61,40,-103,18
61,46,-105,17
62,52,-99,22
62,57,-108,31
62,62,-113,60
62,68,-110,114
63,74,-105,121
64,80,-100,113
64,86,-96,117
65,92,-90,104
65,97,-87,150
66,103,-86,187
66,109,-87,145
66,114,-91,150
66,120,-91,154
67,126,-92,92
67,131,-87,101
68,137,-83,103
68,142,-79,119
69,148,-79,155
69,154,-79,131
69,159,-78,108
70,165,-74,75
71,170,-70,54
71,176,-73,115
71,181,-75,134
71,187,-74,115
72,192,-72,113
72,198,-72,82
72,203,-71,84
73,209,-71,62
73,215,-76,54
62,35,-110,16
63,41,-106,20
63,47,-106,20
64,53,-99,27
63,58,-115,48
63,64,-112,105
64,70,-108,114
65,76,-103,120
65,82,-98,116
66,87,-94,109
67,93,-89,114
67,99,-86,166
67,104,-86,188
68,110,-87,148
68,116,-91,148
68,121,-90,173
68,127,-89,111
69,133,-83,88
70,138,-80,99
70,144,-78,131
70,149,-77,113
71,155,-78,117
71,160,-75,91
72,166,-70,46
72,171,-69,94
72,177,-72,119
72,183,-74,98
73,188,-72,115
73,194,-71,92
74,199,-70,85
74,205,-69,63
74,210,-69,62
74,216,-76,38
64,37,-104,17
64,42,-109,18
65,49,-100,22
65,54,-108,27
65,59,-114,56
65,65,-110,117
66,71,-105,119
66,77,-101,120
67,83,-96,118
68,89,-91,110
68,95,-87,128
69,100,-85,167
